id,url,lb_type_bien,ville,price,pieces,surface,date_annonce,dependance,annexe,classe_energie,gaz_effet_serre
1262585019,https://www.paruvendu.fr/immobilier/prestige/appartement/dpt-yvelines-78-a-vendre-le-chesnay-appartement-t5/1262585019A1KIVHAP000,Appartement,Le Chesnay (78150),650000,5,114,02/09/2022,Terrasse,Parking,D,D
1262604989,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-7-pieces/1262604989A1KIVHMN000,Maison,Saint-Germain-Laval (77130),225000,7,110,02/09/2022,Terrasse,Box,C,C
1262231881,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-familial-au-pied-du-metro-et-des-commerces/1262231881A1KIVHAP000,Appartement,Créteil (94000),250000,4,79,29/08/2022,NC,NC,E,E
1261963145,https://www.paruvendu.fr/immobilier/vente/maison/soisy-champs-de-courses-superbe-maison-de-ville-de-139m2-a/1261963145A1KIVHMN000,Maison,Soisy-sous-Montmorency (95230),587000,7,139,29/08/2022,NC,Box,E,E
1262538248,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-de-4-pieces-a-proximite-du-village/1262538248A1KIVHAP000,Appartement,Créteil (94000),240000,4,62,26/08/2022,NC,Parking,E,F
1262669423,https://www.paruvendu.fr/immobilier/vente/appartement/appt-3-pieces-avec-balcon/1262669423A1KIVHAP000,Appartement,Clamart (92140),395000,3,63,26/08/2022,Balcon,Parking,D,F
1262636388,https://www.paruvendu.fr/immobilier/prestige/maison/maison-de-255-m2-habitables-sur-parcelle-de-505-m2-12-piece/1262636388A1KIVHMN000,Maison,Saint-Maur-des-Fossés (94100),1100000,12,255,26/08/2022,NC,Parking,E,E
1262012960,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-5-pieces/1262012960A1KIVHMN000,Maison,Lorrez-le-Bocage-Préaux (77710),458000,5,201,26/08/2022,Terrasse,Box,C,D
1262560515,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-5-pieces/1262560515A1KIVHMN000,Maison,Plaisir (78370),349000,5,105,24/08/2022,Terrasse,Parking,D,C
1262644260,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-7-pieces/1262644260A1KIVHMN000,Maison,Veneux-les-Sablons (77250),470000,7,116,23/08/2022,Terrasse,Box,E,E
1262643951,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-de-village-2-pieces/1262643951A1KIVHMN000,Maison,Villiers-le-Mahieu (78770),234000,2,42,23/08/2022,NC,NC,D,B
1262494961,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-8-pieces/1262494961A1KIVHMN000,Maison,Saintry-sur-Seine (91250),349500,8,140,23/08/2022,NC,NC,D,B
1261849909,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-6-pieces/1261849909A1KIVHMN000,Maison,Noisy-le-Sec (93130),528000,6,96,23/08/2022,Terrasse,Cave,D,E
1262032010,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-2-pieces/1262032010A1KIVHAP000,Appartement,Garges-lès-Gonesse (95140),108000,2,51,23/08/2022,Balcon,Cave,D,E
1262335339,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-5-pieces/1262335339A1KIVHMN000,Maison,Verneuil-l'Étang (77390),380000,5,122,23/08/2022,Terrasse,Box,C,A
1261940750,https://www.paruvendu.fr/immobilier/prestige/appartement/vente-appartement-4-pieces/1261940750A1KIVHAP000,Appartement,Paris 19,710000,4,83,20/08/2022,NC,Cave,F,C
1262360138,https://www.paruvendu.fr/immobilier/vente/appartement/t3/1262360138A1KIVHAP000,Appartement,Suresnes (92150),490000,3,73,20/08/2022,Balcon,Cave,C,D
1262400626,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-45m2-paris/1262400626A1KIVHAP000,Appartement,Paris 20,427500,2,45,20/08/2022,Balcon,NC,NC,NC
1262667554,https://www.paruvendu.fr/immobilier/vente/maison/maison-7-pieces-de-152-m2-environ/1262667554A1KIVHMN000,Maison,Coulommiers (77120),248000,7,152,03/09/2022,NC,NC,E,E
1262397731,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-4-pieces/1262397731A1KIVHAP000,Appartement,Juvisy-sur-Orge (91260),270000,4,75,20/08/2022,Balcon,Parking,E,E
1262518408,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-2-pieces-avec-terrasse-et-parking-a-vendre-a-cer/1262518408A1KIVHAP000,Appartement,Cergy (95800),179000,2,42,20/08/2022,Terrasse,Parking,D,D
1262034194,https://www.paruvendu.fr/immobilier/vente/appartement/bois-d-arcy-f3-de-68-m2-avec-balcon/1262034194A1KIVHAP000,Appartement,Bois-d'Arcy (78390),222500,3,68,20/08/2022,Balcon,Cave,C,C
