id_emplacement,cd_postal,lb_ville
624,78240,Chambourcy 
625,77165,Iverny 
626,77169,Boissy-le-Châtel 
627,91630,Leudeville 
628,91340,Ollainville 
629,77390,Argentières 
630,78720,Cernay-la-Ville 
631,94880,Noiseau 
632,77230,Villeneuve-sous-Dammartin 
633,77170,Servon 
634,78440,Guitrancourt 
635,77540,Courpalay 
636,77350,Boissettes 
637,78570,Chanteloup-les-Vignes 
638,91560,Crosne 
639,78270,Limetz-Villez 
640,93450,L'Île-Saint-Denis 
641,91150,Ormoy-la-Rivière 
642,78121,Crespières 
643,91750,Champcueil 
644,78120,Sonchamp 
645,77260,Sammeron 
646,77540,Le Plessis-Feu-Aussoux 
647,78200,Jouy-Mauvoisin 
648,94410,Saint-Maurice 
649,95300,Hérouville 
650,91150,Mespuits 
651,77111,Solers 
652,95690,Labbeville 
653,78670,Villennes-sur-Seine 
654,77250,Villecerf 
655,91350,Grigny 
656,93,drancy 
657,95450,Avernes 
658,77410,Villevaudé 
659,95630,Mériel 
660,77670,Vernou-la-Celle-sur-Seine 
661,77400,Pomponne 
662,78126,Aulnay-sur-Mauldre 
663,91490,Dannemois 
664,91440,Bures-sur-Yvette 
665,78670,Médan 
666,77860,Saint-Germain-sur-Morin 
667,95810,Épiais-Rhus 
668,77166,Évry-Grégy-sur-Yerre 
669,77850,Héricy 
670,77480,Fontaine-Fourches 
671,77220,Gretz-Armainvilliers 
672,93,epinay sur seine 
673,95450,Condécourt 
674,78200,Soindres 
675,77710,Paley 
676,77610,Marles-en-Brie 
677,77970,Bannost-Villegagnon 
678,77230,Moussy-le-Neuf 
679,78630,Morainvilliers 
680,95530,La Frette-sur-Seine 
681,77660,Saint-Jean-les-Deux-Jumeaux 
682,78200,Magnanville 
683,78440,Gargenville 
684,77590,Bois-le-Roi 
685,77890,Beaumont-du-Gâtinais 
686,77134,Les Ormes-sur-Voulzie 
687,93380,Pierrefitte-sur-Seine 
688,78930,Goussonville 
689,95830,Cormeilles-en-Vexin 
690,77590,Chartrettes 
691,95470,Vémars 
692,78350,Jouy-en-Josas 
693,78200,Perdreauville 
694,92390,Villeneuve-la-Garenne 
695,77560,Champcenest 
696,91250,Morsang-sur-Seine 
697,95570,Bouffémont 
698,78111,Dammartin-en-Serve 
699,77540,Rozay-en-Brie 
700,77940,Voulx 
701,78490,Vicq 
702,77860,Couilly-Pont-aux-Dames 
703,77135,Pontcarré 
704,77165,Saint-Soupplets 
705,77780,Bourron-Marlotte 
706,91830,Le Coudray-Montceaux 
707,91940,Gometz-le-Châtel 
708,95680,Montlignon 
709,95300,Ennery 
710,78720,Senlisse 
711,95810,Berville 
712,91470,Boullay-les-Troux 
713,77920,Samois-sur-Seine 
714,91830,Auvernaux 
715,77440,Armentières-en-Brie 
716,95000,Boisemont 
717,77183,Croissy-Beaubourg 
718,77450,Isles-lès-Villenoy 
719,78820,Juziers 
720,78580,Bazemont 
721,77510,Sablonnières 
722,78790,Hargeville 
723,77760,Recloses 
724,77390,Fouju 
725,95700,Roissy-en-France 
726,77710,Remauville 
727,78270,Lommoye 
728,78110,Le Vésinet 
729,77177,Brou-sur-Chantereine 
730,91530,Saint-Maurice-Montcouronne 
731,77930,Saint-Germain-sur-École 
732,78310,Coignières 
733,91680,Courson-Monteloup 
734,95580,Margency 
735,77470,Villemareuil 
736,95340,Ronquerolles 
737,77390,Ozouer-le-Voulgis 
738,77170,Coubert 
739,77470,Saint-Fiacre 
740,91400,Gometz-la-Ville 
741,93430,Villetaneuse 
742,91540,Ormoy 
743,91730,Chamarande 
744,95270,Saint-Martin-du-Tertre 
745,77470,Fublaines 
746,78730,Rochefort-en-Yvelines 
747,78660,Saint-Martin-de-Bréthencourt 
748,78117,Toussus-le-Noble 
749,77126,Courcelles-en-Bassée 
750,78960,Voisins-le-Bretonneux 
751,78940,La Queue-les-Yvelines 
752,77167,Bagneaux-sur-Loing 
753,77167,Poligny 
754,77550,Réau 
755,77320,Chartronges 
756,95580,Andilly 
757,77510,Bellot 
758,77940,Blennes 
759,77950,Rubelles 
760,77690,La Genevraye 
761,77,LA ROCHETTE 
762,91740,Chalou-Moulineux 
763,95770,Saint-Clair-sur-Epte 
764,77880,Grez-sur-Loing 
765,91410,Les Granges-le-Roi 
766,91690,Saclas 
767,77570,Aufferville 
768,91590,Guigneville-sur-Essonne 
769,77115,Blandy 
770,77370,Fontenailles 
771,77000,Livry-sur-Seine 
772,78580,Jumeauville 
773,77760,Achères-la-Forêt 
774,78410,Bouafle 
775,77390,Courtomer 
776,95740,Frépillon 
777,77390,Courquetaine 
778,91690,Boissy-la-Rivière 
779,93350,Le Bourget 
780,77280,Othis 
781,91690,Saint-Cyr-la-Rivière 
782,77560,Augers-en-Brie 
783,91250,Tigery 
784,77160,Saint-Brice 
785,78640,Villiers-Saint-Fréderic 
